University Name,Times Higher Education (THE) World University Ranking
Hebrew University of Jerusalem,251–300
University of Illinois Chicago,251–300
Indian Institute of Science,251–300
Johannes Gutenberg University of Mainz,251–300
University of Kiel,251–300
King Saud University,251–300
Kyung Hee University,251–300
La Trobe University,251–300
Université Laval,251–300
Linköping University,251–300
University of Navarra,251–300
Oregon Health and Science University,251–300
Osaka University,251–300
University of Pavia,251–300
Queen’s University,251–300
Ruhr University Bochum,251–300
Sejong University,251–300
University of Sharjah,251–300
Simon Fraser University,251–300
University of Southern Denmark,251–300
Stellenbosch University,251–300
Sun Yat-sen University,251–300
Swansea University,251–300
Tilburg University,251–300
Tongji University,251–300
University of Twente,251–300
United Arab Emirates University,251–300
University of Utah,251–300
Virginia Polytechnic Institute and State University,251–300
University of the Witwatersrand,251–300
Abu Dhabi University,301–350
Aix-Marseille University,301–350
Alfaisal University,301–350
Anglia Ruskin University (ARU),301–350
Autonomous University of Madrid,301–350
University of Bordeaux,301–350
Brandeis University,301–350
Universiti Brunei Darussalam,301–350
University at Buffalo,301–350
"University of California, Merced",301–350
University of Colorado Denver/Anschutz Medical Campus,301–350
Dalhousie University,301–350
Drexel University,301–350
École Normale Supérieure de Lyon,301–350
University of Essex,301–350
Flinders University,301–350
Florida State University,301–350
University of Galway,301–350
George Mason University,301–350
Hasselt University,301–350
University of Iowa,301–350
Lappeenranta-Lahti University of Technology LUT,301–350
University of Milan,301–350
University of Milan-Bicocca,301–350
Montpellier University,301–350
Nagoya University,301–350
Nankai University,301–350
University of Otago,301–350
University of Oulu,301–350
Politecnico di Milano,301–350
Reykjavík University,301–350
RMIT University,301–350
University of St Gallen,301–350
Saint Louis University,301–350
University of South Australia,301–350
University of Southern Queensland,301–350
Stony Brook University,301–350
University of Stuttgart,301–350
Swinburne University of Technology,301–350
Taipei Medical University,301–350
Tampere University,301–350
University of Tasmania,301–350
Technical University of Darmstadt,301–350
Temple University,301–350
The University of Tennessee-Knoxville,301–350
Tokyo Institute of Technology,301–350
University College Cork,301–350
University of Victoria,301–350
American University of Beirut,351–400
"Asia University, Taiwan",351–400
Ateneo de Manila University,351–400
"Birkbeck, University of London",351–400
University of Bremen,351–400
University of Brescia,351–400
University of Cape Coast,351–400
Catholic University of Portugal,351–400
Central South University,351–400
Charles Darwin University,351–400
"City, University of London",351–400
University of Delaware,351–400
East China Normal University,351–400
Edith Cowan University,351–400
Golestan University of Medical Sciences,351–400
University of Greifswald,351–400
University of Hail,351–400
Harbin Institute of Technology,351–400
Howard University,351–400
Imam Mohammad Ibn Saud Islamic University,351–400
IMT Atlantique,351–400
James Cook University,351–400
JSS Academy of Higher Education and Research,351–400
University of Kent,351–400
Khalifa University,351–400
Kurdistan University of Medical Sciences,351–400
Leuphana University of Lüneburg,351–400
University of Liège,351–400
Loughborough University,351–400
University of Malaya,351–400
University of Manitoba,351–400
Mazandaran University of Medical Sciences,351–400
University of Naples Federico II,351–400
University of New Mexico (Main campus),351–400
North Carolina State University,351–400
University of Rome II – Tor Vergata,351–400
"Royal Holloway, University of London",351–400
Royal Veterinary College,351–400
Rush University,351–400
Shoolini University of Biotechnology and Management Sciences,351–400
University of Stirling,351–400
Swedish University of Agricultural Sciences,351–400
University of Texas at Dallas,351–400
Tulane University,351–400
University of Turku,351–400
University of Vaasa,351–400
Verona University,351–400
Wake Forest University,351–400
Washington State University,351–400
Wroclaw Medical University,351–400
Alagappa University,401–500
University of Alaska Fairbanks,401–500
Arak University of Medical Sciences,401–500
Aston University,401–500
Aswan University,401–500
Babol University of Medical Sciences,401–500
Babol Noshirvani University of Technology,401–500
Bangor University,401–500
University of Bayreuth,401–500
Brunel University London,401–500
University of Campinas,401–500
Cankaya University,401–500
University of Catania,401–500
Claude Bernard University Lyon 1,401–500
Colorado School of Mines,401–500
"Colorado State University, Fort Collins",401–500
Complutense University of Madrid,401–500
University of Connecticut,401–500
University of Crete,401–500
University of Cyprus,401–500
University of Denver,401–500
Dublin City University,401–500
Duy Tan University,401–500
Edinburgh Napier University,401–500
University of Electronic Science and Technology of China,401–500
Ferhat Abbas Sétif University 1,401–500
University of Ferrara,401–500
University of Florence,401–500
Free University of Bozen-Bolzano,401–500
University of Genoa,401–500
Georgia State University,401–500
Université Grenoble Alpes,401–500
Hanyang University,401–500
Hunan University,401–500
University of Ibadan,401–500
Illinois Institute of Technology,401–500
University of Innsbruck,401–500
Institut Agro,401–500
University of International Business and Economics,401–500
Iowa State University,401–500
Jazan University,401–500
Justus Liebig University Giessen,401–500
University of Jyväskylä,401–500
University of Kansas,401–500
University of Klagenfurt,401–500
Koç University,401–500
University of KwaZulu-Natal,401–500
University of Lagos,401–500
Leibniz University Hannover,401–500
Lincoln University,401–500
University of Lincoln,401–500
Liverpool John Moores University,401–500
Mahatma Gandhi University,401–500
University of Marburg,401–500
Maynooth University,401–500
Middlesex University,401–500
University of Modena and Reggio Emilia,401–500
Muhimbili University of Health and Allied Sciences,401–500
Murdoch University,401–500
National and Kapodistrian University of Athens,401–500
University of Nebraska-Lincoln,401–500
University of Nebraska Medical Center,401–500
Norwegian University of Science and Technology,401–500
Nova Southeastern University,401–500
Örebro University,401–500
University of Passau,401–500
University of Pisa,401–500
University of Plymouth,401–500
Pontificia Universidad Católica de Chile,401–500
University of Porto,401–500
University of Portsmouth,401–500
Qazvin University of Medical Sciences,401–500
Qom University of Medical Sciences,401–500
Quaid-i-Azam University,401–500
Sabancı University,401–500
Sharif University of Technology,401–500
Shenzhen University,401–500
University of Siena,401–500
South China University of Technology,401–500
Southeast University,401–500
Southern Medical University,401–500
SRUC (Scotland’s Rural College),401–500
University of Strathclyde,401–500
Sumy State University,401–500
Syracuse University,401–500
Universiti Teknologi Petronas,401–500
Tianjin University,401–500
Ton Duc Thang University,401–500
University of Trento,401–500
The University of Tulsa,401–500
University of Turin,401–500
TU Wien,401–500
Umeå University,401–500
Urmia University of Medical Sciences,401–500
Universiti Utara Malaysia,401–500
Victoria University of Wellington,401–500
University of Waikato,401–500
University of the West of England,401–500
William & Mary,401–500
Xiamen University,401–500
York University,401–500
Aberystwyth University,501–600
An-Najah National University,501–600
University of L’Aquila,501–600
Beihang University,501–600
Beijing Institute of Technology,501–600
Birmingham City University,501–600
University of Bradford,501–600
Bucharest University of Economic Studies,501–600
Centrale Nantes,501–600
Changsha University of Science and Technology,501–600
Charles University,501–600
University of Côte d’Azur,501–600
Damietta University,501–600
Durban University of Technology,501–600
Eastern Mediterranean University,501–600
École des Mines de Saint-Étienne,501–600
Federal University of Toulouse Midi-Pyrénées,501–600
Florida International University,501–600
University of Fribourg,501–600
"Goldsmiths, University of London",501–600
Government College University Faisalabad,501–600
University of Greenwich,501–600
University of Guelph,501–600
Gwangju Institute of Science and Technology (GIST),501–600
Harokopio University of Athens,501–600
Heriot-Watt University,501–600
Hokkaido University,501–600
Hong Kong Baptist University,501–600
University of Hull,501–600
University of Iceland,501–600
Indian Institute of Technology Ropar,501–600
University of Insubria,501–600
"International Institute of Information Technology, Hyderabad",501–600
Iran University of Science and Technology,501–600
"Islamic Azad University, Najafabad Branch (IAUN)",501–600
Constructor University,501–600
Jamia Millia Islamia,501–600
Jimma University,501–600
Johannes Kepler University of Linz,501–600
Jordan University of Science and Technology,501–600
Kafrelsheikh University,501–600
Kashan University of Medical Sciences and Health Services,501–600
Keele University,501–600
University of Kentucky,501–600
Kermanshah University of Medical Sciences,501–600
University of Kragujevac,501–600
Kyushu University,501–600
Lebanese American University,501–600
University of Lille,501–600
University of Lisbon,501–600
University of Management and Technology,501–600
University of Messina,501–600
Middle East Technical University,501–600
Missouri University of Science and Technology,501–600
University of Mons,501–600
National Tsing Hua University,501–600
National Yang Ming Chiao Tung University,501–600
University of Neuchâtel,501–600
University of Nicosia,501–600
Northumbria University,501–600
Northwestern Polytechnical University,501–600
Nottingham Trent University,501–600
Open University of Catalonia,501–600
University of Peradeniya,501–600
Universitat Ramon Llull,501–600
University of Salerno,501–600
University of Saskatchewan,501–600
University of Sassari,501–600
Saveetha Institute of Medical and Technical Sciences,501–600
Sciences Po,501–600
Shiraz University of Technology,501–600
SOAS University of London,501–600
University of South Carolina-Columbia,501–600
Southwestern University of Finance and Economics,501–600
University of Stavanger,501–600
Stevens Institute of Technology,501–600
SUNY University at Albany,501–600
University of Tabuk,501–600
Technion Israel Institute of Technology,501–600
Tokyo Medical and Dental University (TMDU),501–600
University of Trieste,501–600
University of Tsukuba,501–600
TU Dortmund University,501–600
University of Tuscia,501–600
University of Udine,501–600
UiT The Arctic University of Norway,501–600
University of Valencia,501–600
University of Vic – Central University of Catalonia,501–600
Victoria University,501–600
Virginia Commonwealth University,501–600
Wayne State University,501–600
The University of the West Indies,501–600
Xi’an Jiaotong University,501–600
University of Zambia,501–600
Zayed University,501–600
Zhejiang Normal University,501–600
Abdul Wali Khan University Mardan,601–800
Åbo Akademi University,601–800
Addis Ababa University,601–800
Ahvaz Jundishapur University of Medical Sciences (AJUMS),601–800
Ajou University,601–800
Amedeo Avogadro University of Eastern Piedmont,601–800
American University,601–800
American University of Sharjah,601–800
Amirkabir University of Technology,601–800
University of Antofagasta,601–800
University of Arkansas,601–800
Auburn University,601–800
Azarbaijan Shahid Madani University,601–800
University of Babylon,601–800
Bahçeşehir University,601–800
Bahria University,601–800
Banaras Hindu University,601–800
University of Bari Aldo Moro,601–800
Bar-Ilan University,601–800
Baylor University,601–800
Beirut Arab University,601–800
Ben-Gurion University of the Negev,601–800
Benha University,601–800
Université Bourgogne Franche-Comté (UBFC),601–800
Ca’ Foscari University of Venice,601–800
University of Camerino (Unicam),601–800
University of Canterbury,601–800
Capital Medical University,601–800
Carleton University,601–800
University of Central Florida,601–800
Central Queensland University,601–800
Chongqing University,601–800
Chung-Ang University,601–800
Clark University,601–800
University of Coimbra,601–800
University of Colombo,601–800
COMSATS University Islamabad,601–800
Concordia University,601–800
University of Córdoba,601–800
University of Costa Rica,601–800
Covenant University,601–800
Cyprus University of Technology,601–800
Dalian University of Technology,601–800
Delhi Technological University,601–800
De Montfort University,601–800
University of Derby,601–800
University of Desarrollo,601–800
University of Dhaka,601–800
Dow University of Health Sciences,601–800
University of Eastern Finland,601–800
Universidade Eduardo Mondlane,601–800
"University of Engineering and Technology, Taxila",601–800
ENSTA Bretagne,601–800
Eötvös Loránd University,601–800
Fayoum University,601–800
Universidade Federal do Rio Grande do Sul,601–800
Universidade Federal de São Paulo (UNIFESP),601–800
Federation University Australia,601–800
Gabriele d‘Annunzio University,601–800
University of Georgia,601–800
Glasgow Caledonian University,601–800
University of Granada,601–800
Graphic Era University,601–800
University of Graz,601–800
Graz University of Technology,601–800
Guangzhou University,601–800
Guangzhou Medical University,601–800
Hacettepe University,601–800
University of Haifa,601–800
Hamburg University of Technology,601–800
Hazara University Mansehra,601–800
University of Hertfordshire,601–800
University of Houston,601–800
University of Huddersfield,601–800
Icesi University,601–800
Ilam University of Medical Sciences,601–800
Imam Abdulrahman Bin Faisal University,601–800
Indian Institute of Technology Indore,601–800
Indraprastha Institute of Information Technology Delhi,601–800
"International Islamic University, Islamabad",601–800
Iran University of Medical Sciences,601–800
Istanbul Technical University,601–800
Jagiellonian University,601–800
Jamia Hamdard University,601–800
Jawaharlal Nehru University,601–800
Jiangsu University,601–800
Jinan University,601–800
University of Johannesburg,601–800
Jönköping University,601–800
The University of Jordan,601–800
Jouf University,601–800
University of Kaiserslautern,601–800
Kalasalingam Academy of Research and Education,601–800
Kansai Medical University,601–800
University of Kashan,601–800
Universiti Kebangsaan Malaysia,601–800
KIIT University,601–800
King Saud bin Abdulaziz University for Health Sciences,601–800
Konkuk University,601–800
Kore University of Enna,601–800
University of Kurdistan,601–800
Lahore University of Management Sciences,601–800
Lehigh University,601–800
University of Limerick,601–800
London South Bank University,601–800
University of Lorraine,601–800
Louisiana State University,601–800
Lviv Polytechnic National University,601–800
Maharishi Markandeshwar University (MMU),601–800
Majmaah University,601–800
University of Malakand,601–800
Manchester Metropolitan University,601–800
Mansoura University,601–800
Marche Polytechnic University,601–800
"University of Maryland, Baltimore County",601–800
Mashhad University of Medical Sciences,601–800
Massey University,601–800
Medical University of Lodz,601–800
Memorial University of Newfoundland,601–800
Minia University,601–800
Mizzou - University of Missouri,601–800
University of Mohaghegh Ardabili,601–800
University of Nairobi,601–800
University of Namibia,601–800
Nanjing Agricultural University,601–800
Nantes Université,601–800
National Cheng Kung University (NCKU),601–800
National Taiwan University of Science and Technology (Taiwan Tech),601–800
National Institute of Technology Silchar,601–800
National Yunlin University of Science and Technology,601–800
Near East University,601–800
"University of Nevada, Las Vegas",601–800
University of New Brunswick UNB,601–800
New Jersey Institute of Technology,601–800
University of North Carolina at Charlotte,601–800
North South University,601–800
North-West University,601–800
Norwegian University of Life Sciences,601–800
NOVA University of Lisbon,601–800
"University of Occupational and Environmental Health, Japan",601–800
Oklahoma State University,601–800
Ontario Tech University,601–800
The Open University,601–800
Oxford Brookes University,601–800
University of Parma,601–800
Universidad Peruana Cayetano Heredia,601–800
University of Perugia,601–800
Polytechnic University of Bari,601–800
Polytechnic University of Turin,601–800
Prince Sattam Bin Abdulaziz University,601–800
