University Name,original_index,Times Ranking,CWUR Ranking,QS Ranking,ARWU Ranking,Webometrics Ranking
Jinan University,680,601–800,460.0,,301-400,
University of Johannesburg,681,601–800,629.0,412,401-500,653.0
Jönköping University,682,601–800,1844.0,,,
Kansai Medical University,687,601–800,1774.0,,,
University of Kashan,688,601–800,1598.0,,,1597.0
King Saud bin Abdulaziz University for Health Sciences,691,601–800,1349.0,,,2047.0
Konkuk University,692,601–800,645.0,651-700,701-800,
University of Kurdistan,694,601–800,1776.0,,,
Lehigh University,696,601–800,522.0,591-600,801-900,550.0
University of Limerick,697,601–800,939.0,531-540,701-800,619.0
University of Lorraine,699,601–800,280.0,,201-300,
Louisiana State University,700,601–800,377.0,801-1000,,252.0
Manchester Metropolitan University,705,601–800,1058.0,801-1000,801-900,564.0
Mansoura University,706,601–800,932.0,1201-1400,601-700,934.0
Marche Polytechnic University,707,601–800,776.0,,601-700,
"University of Maryland, Baltimore County",708,601–800,769.0,801-1000,601-700,514.0
Mashhad University of Medical Sciences,709,601–800,1257.0,,,944.0
Massey University,710,601–800,692.0,292,601-700,511.0
Medical University of Lodz,711,601–800,1014.0,,,
Memorial University of Newfoundland,712,601–800,648.0,751-800,701-800,437.0
Minia University,713,601–800,1703.0,,,1776.0
University of Nairobi,716,601–800,1405.0,1001-1200,,1076.0
Nanjing Agricultural University,718,601–800,422.0,801-1000,301-400,
National Yunlin University of Science and Technology,723,601–800,1931.0,,801-900,
Near East University,724,601–800,1659.0,,,
"University of Nevada, Las Vegas",725,601–800,829.0,,701-800,474.0
New Jersey Institute of Technology,727,601–800,962.0,,701-800,574.0
University of North Carolina at Charlotte,728,601–800,804.0,1201-1400,,1273.0
North-West University,730,601–800,880.0,1001-1200,601-700,1668.0
Norwegian University of Life Sciences,731,601–800,787.0,,801-900,
NOVA University of Lisbon,732,601–800,518.0,,,
"University of Occupational and Environmental Health, Japan",733,601–800,1445.0,,,
Oklahoma State University,734,601–800,527.0,801-1000,501-600,
Ontario Tech University,735,601–800,1481.0,,901-1000,1521.0
Oxford Brookes University,737,601–800,1388.0,438,,747.0
University of Parma,738,601–800,373.0,801-1000,501-600,
University of Perugia,740,601–800,394.0,,401-500,
Polytechnic University of Bari,741,601–800,828.0,,,
Polytechnic University of Turin,742,601–800,580.0,,601-700,
Prince Sattam Bin Abdulaziz University,743,601–800,1904.0,,801-900,1393.0
Qingdao University,745,601–800,609.0,,401-500,
University of Regina,747,601–800,970.0,1001-1200,,1480.0
Rensselaer Polytechnic Institute,748,601–800,584.0,461,401-500,360.0
Rovira i Virgili University,751,601–800,516.0,,,
San Diego State University,753,601–800,578.0,1001-1200,501-600,363.0
University of Sannio,754,601–800,1501.0,,,
University of Santiago de Compostela,755,601–800,472.0,,401-500,
Savitribai Phule Pune University,756,601–800,1444.0,541-550,,
University of Campania Luigi Vanvitelli,757,601–800,664.0,,,
Shanghai University,758,601–800,430.0,422,201-300,
"Soochow University, China",759,601–800,250.0,,151-200,
Southern Cross University,760,601–800,1345.0,701-750,801-900,932.0
University of Strasbourg,761,601–800,141.0,,101-150,
Sultan Qaboos University,762,601–800,1312.0,384,801-900,1090.0
University of the Sunshine Coast,763,601–800,1318.0,1001-1200,601-700,993.0
University of Tabriz,765,601–800,985.0,,901-1000,1050.0
Tabriz University of Medical Sciences,766,601–800,1394.0,,,857.0
Taif University,767,601–800,1756.0,,401-500,1062.0
Tallinn University of Technology,768,601–800,1476.0,,,
University of Tehran,769,601–800,495.0,501-510,301-400,295.0
Tehran University of Medical Sciences,770,601–800,622.0,,401-500,464.0
University of Texas at Arlington,772,601–800,582.0,,,
Thapar Institute of Engineering and Technology,774,601–800,1411.0,1001-1200,,
University of Toledo,775,601–800,839.0,1001-1200,701-800,596.0
University of Ulsan,777,601–800,420.0,561-570,501-600,
Ulster University,778,601–800,969.0,601-650,,
Umm Al-Qura University,779,601–800,1839.0,449,,1191.0
Wenzhou University,781,601–800,1168.0,,701-800,
University of the West of Scotland,783,601–800,1686.0,,,
University of Windsor,784,601–800,963.0,751-800,,622.0
University of Wolverhampton,785,601–800,1926.0,1001-1200,,1081.0
University of Wuppertal,786,601–800,797.0,,901-1000,
Xi’an Jiaotong-Liverpool University,787,601–800,1683.0,1001-1200,,
Yokohama City University,788,601–800,689.0,501-510,801-900,
Zhengzhou University,789,601–800,330.0,801-1000,201-300,
University of the Aegean,790,801–1000,1378.0,,,1941.0
"University of Agriculture, Faisalabad",791,801–1000,1242.0,1001-1200,701-800,1445.0
Al-Azhar University,794,801–1000,1478.0,1201-1400,801-900,1343.0
University of Alcalá,796,801–1000,819.0,,801-900,
Alexandria University,797,801–1000,991.0,1001-1200,501-600,584.0
Aligarh Muslim University,798,801–1000,1153.0,1001-1200,901-1000,1072.0
American University in Cairo,799,801–1000,1947.0,,,1132.0
Anna University,800,801–1000,1167.0,551-560,,931.0
Aristotle University of Thessaloniki,802,801–1000,417.0,651-700,501-600,262.0
University of Aveiro,805,801–1000,587.0,501-510,401-500,
University of the Balearic Islands,806,801–1000,794.0,,701-800,
University of the Basque Country,807,801–1000,347.0,701-750,301-400,
University of Beira Interior,809,801–1000,1422.0,,,
University of Belgrade,810,801–1000,348.0,1001-1200,401-500,
Beni-Suef University,811,801–1000,1496.0,,,1868.0
University of Bergamo,812,801–1000,1848.0,,,
Bharathiar University,813,801–1000,1661.0,,,
Bilkent University,814,801–1000,1000.0,561-570,,884.0
"Birla Institute of Technology and Science, Pilani",815,801–1000,1455.0,1001-1200,,
Boğaziçi University,816,801–1000,647.0,,,715.0
University of Brighton,817,801–1000,867.0,801-1000,,716.0
Cairo University,818,801–1000,531.0,551-560,301-400,548.0
University of Calabria,819,801–1000,693.0,1001-1200,801-900,
Chapman University,820,801–1000,1632.0,,,832.0
Chengdu University,822,801–1000,1977.0,,,
"China University of Petroleum, Beijing",823,801–1000,793.0,541-550,501-600,
Chulalongkorn University,824,801–1000,464.0,224,501-600,447.0
Clemson University,825,801–1000,570.0,801-1000,601-700,298.0
University of Clermont Auvergne,826,801–1000,423.0,,,
Coventry University,827,801–1000,1232.0,651-700,,638.0
CY Cergy Paris University,828,801–1000,1582.0,751-800,,1678.0
University of Dayton,829,801–1000,1273.0,,,912.0
Diego Portales University,831,801–1000,1724.0,,,
Donghua University,832,801–1000,604.0,801-1000,701-800,
Ewha Womans University,836,801–1000,576.0,346,601-700,
Federal University of Minas Gerais,837,801–1000,500.0,,401-500,
Florida Agricultural and Mechanical University,840,801–1000,1930.0,,,1663.0
Florida Atlantic University,841,801–1000,1035.0,,901-1000,515.0
University of Foggia,842,801–1000,1326.0,,,
University of the Free State,843,801–1000,1126.0,,901-1000,1106.0
Fujita Health University,844,801–1000,1268.0,,,
Fuzhou University,845,801–1000,498.0,,301-400,
University of Girona,846,801–1000,777.0,,801-900,
Guangdong University of Technology,847,801–1000,623.0,,401-500,
Hiroshima University,848,801–1000,445.0,338,401-500,
Indian Institute of Technology Gandhinagar,850,801–1000,1695.0,,,
University of Ioannina,852,801–1000,709.0,,,707.0
ISCTE-University Institute of Lisbon,853,801–1000,1633.0,,,
University of Jaén,857,801–1000,1061.0,,701-800,
Juntendo University,858,801–1000,850.0,,601-700,
Kansas State University,859,801–1000,446.0,801-1000,501-600,462.0
Karlstad University,860,801–1000,1784.0,,,
Keio University,861,801–1000,100.0,197,301-400,
Kindai University,863,801–1000,845.0,,701-800,
King Khalid University,865,801–1000,1609.0,701-750,601-700,1149.0
King Mongkut’s University of Technology Thonburi,866,801–1000,1561.0,801-1000,,1003.0
Kingston University,867,801–1000,1571.0,,,
Kobe University,869,801–1000,451.0,363,401-500,
Kurume University,870,801–1000,1358.0,,,
Kuwait University,871,801–1000,1334.0,1001-1200,,3140.0
Kyungpook National University,872,801–1000,412.0,501-510,401-500,
Lakehead University,874,801–1000,1327.0,,,986.0
University of La Laguna,875,801–1000,657.0,,701-800,
University of Latvia,876,801–1000,1542.0,1001-1200,,
Leeds Beckett University,877,801–1000,1900.0,1001-1200,,
Lithuanian University of Health Sciences,878,801–1000,1618.0,,,
University of Ljubljana,879,801–1000,416.0,601-650,401-500,
University of Lleida,880,801–1000,1043.0,,,
Mae Fah Luang University,882,801–1000,1747.0,,,2133.0
Mahidol University,883,801–1000,551.0,256,601-700,523.0
Makerere University,884,801–1000,955.0,1201-1400,,1066.0
University of Malta,886,801–1000,1702.0,801-1000,,872.0
Manipal Academy of Higher Education,887,801–1000,1340.0,,,
Marquette University,888,801–1000,1146.0,1001-1200,,685.0
Masaryk University,889,801–1000,562.0,551-560,401-500,
Medical University of Gdańsk,890,801–1000,1099.0,,,
University of Memphis,891,801–1000,981.0,1201-1400,,
University of Minho,892,801–1000,571.0,591-600,401-500,
Mississippi State University,893,801–1000,714.0,1001-1200,501-600,439.0
University of Missouri-St Louis,894,801–1000,1287.0,,,
University of Namur,897,801–1000,1367.0,,,
Nanjing Forestry University,898,801–1000,886.0,,601-700,
Nanjing University of Information Science and Technology,899,801–1000,546.0,,401-500,
Nanjing Normal University,900,801–1000,588.0,1001-1200,501-600,
Nanjing Tech University,901,801–1000,533.0,,301-400,
National University of Sciences and Technology,904,801–1000,1244.0,,,5073.0
National Sun Yat-Sen University,905,801–1000,827.0,428,601-700,
National Taiwan Normal University,906,801–1000,1042.0,332,,615.0
National Technical University of Athens,907,801–1000,558.0,422,,425.0
"National Institute of Technology, Tiruchirappalli",909,801–1000,1546.0,801-1000,,1338.0
Nippon Medical School,912,801–1000,1202.0,,,
University of North Carolina at Greensboro,913,801–1000,1101.0,1201-1400,801-900,649.0
"Northeastern University, China",914,801–1000,485.0,,,
Northeast Normal University,915,801–1000,686.0,,901-1000,
Northern Illinois University,917,801–1000,822.0,,,603.0
Old Dominion University,919,801–1000,857.0,,701-800,473.0
Pablo de Olavide University,921,801–1000,1105.0,,,
University of Palermo,922,801–1000,586.0,1001-1200,501-600,
Panjab University,923,801–1000,730.0,1201-1400,,1829.0
University of Peshawar,927,801–1000,1700.0,801-1000,,1846.0
Polytechnic University of Valencia,930,801–1000,505.0,,401-500,
Pontifical Javeriana University,933,801–1000,1579.0,,,
University of Pretoria,934,801–1000,555.0,591-600,401-500,450.0
University of the Punjab,936,801–1000,1226.0,801-1000,701-800,852.0
University of Rennes 1,937,801–1000,427.0,,601-700,
University of Rhode Island,938,801–1000,809.0,1001-1200,901-1000,484.0
Rhodes University,939,801–1000,1304.0,801-1000,,1138.0
University of Roehampton,940,801–1000,1967.0,,,
Roskilde University,942,801–1000,1707.0,,,
University of Salamanca,943,801–1000,707.0,601-650,501-600,
University of Salento,944,801–1000,761.0,,901-1000,
University of Salford,945,801–1000,1507.0,801-1000,,790.0
University of Science and Technology Beijing,946,801–1000,389.0,428,201-300,
Shahid Beheshti University,948,801–1000,1102.0,,,1035.0
Shantou University,949,801–1000,1050.0,,801-900,
Sheffield Hallam University,950,801–1000,1563.0,1001-1200,,718.0
Shiraz University,951,801–1000,922.0,751-800,,1018.0
Shiraz University of Medical Sciences,952,801–1000,1365.0,,,1021.0
University of Siegen,953,801–1000,820.0,,,
South China Normal University,955,801–1000,651.0,,501-600,
Southern Illinois University Carbondale,956,801–1000,957.0,,,
Suez Canal University,957,801–1000,1238.0,1201-1400,,1749.0
Taibah University,960,801–1000,1654.0,1001-1200,,1512.0
Tanta University,961,801–1000,1382.0,1201-1400,,1425.0
University of Texas at El Paso,964,801–1000,1016.0,,701-800,
Texas Tech University,965,801–1000,432.0,1001-1200,401-500,377.0
University of Thessaly,966,801–1000,1059.0,,801-900,938.0
Tribhuvan University,968,801–1000,1855.0,,,3280.0
Vilnius University,970,801–1000,699.0,400,701-800,
University of Warsaw,972,801–1000,402.0,284,401-500,
Wenzhou Medical University,973,801–1000,725.0,,501-600,
University of Wisconsin-Milwaukee,975,801–1000,598.0,1001-1200,701-800,443.0
Worcester Polytechnic Institute,976,801–1000,1081.0,801-1000,,680.0
University of Wyoming,977,801–1000,676.0,801-1000,501-600,491.0
Yangzhou University,978,801–1000,617.0,,401-500,
Yeungnam University,979,801–1000,754.0,801-1000,501-600,
Zagazig University,980,801–1000,1197.0,1201-1400,801-900,1078.0
University of A Coruña,983,1001–1200,1005.0,,,
"Adam Mickiewicz University, Poznań",984,1001–1200,818.0,801-1000,,
Ain Shams University,985,1001–1200,784.0,,701-800,992.0
University of Algarve,987,1001–1200,1250.0,,,
University of Almería,988,1001–1200,1272.0,,,
"University of the Andes, Colombia",991,1001–1200,766.0,,,
Assiut University,993,1001–1200,1163.0,1001-1200,,1219.0
Autonomous University of Sinaloa,995,1001–1200,1824.0,,,
Babeş-Bolyai University,996,1001–1200,895.0,1001-1200,801-900,
Bahauddin Zakariya University,997,1001–1200,1746.0,1201-1400,,1499.0
Beijing Jiaotong University,999,1001–1200,557.0,801-1000,501-600,
Bowling Green State University,1001,1001–1200,1381.0,,,803.0
University of Burgos,1003,1001–1200,1838.0,,,
University of Calcutta,1004,1001–1200,1118.0,801-1000,901-1000,1426.0
Carlos III University of Madrid,1006,1001–1200,849.0,,901-1000,
University of Castilla-La Mancha,1008,1001–1200,746.0,,701-800,
University of Central Lancashire,1010,1001–1200,1387.0,801-1000,,897.0
Chang Gung University,1011,1001–1200,579.0,475,401-500,1069.0
Charles Sturt University,1012,1001–1200,1095.0,801-1000,,705.0
Chiang Mai University,1013,1001–1200,942.0,601-650,701-800,488.0
Chiba University,1014,1001–1200,574.0,490,601-700,
University of Chile,1015,1001–1200,431.0,,401-500,
"China University of Geosciences, Beijing",1016,1001–1200,658.0,,401-500,
China Pharmaceutical University,1017,1001–1200,869.0,,901-1000,
Chonnam National University,1018,1001–1200,435.0,751-800,501-600,
Clarkson University,1019,1001–1200,1526.0,801-1000,,1094.0
Comenius University in Bratislava,1020,1001–1200,630.0,,701-800,
Creighton University,1021,1001–1200,1056.0,,,847.0
University of Debrecen,1023,1001–1200,717.0,651-700,,
University of Delhi,1024,1001–1200,591.0,521-530,601-700,635.0
East China University of Science and Technology,1026,1001–1200,388.0,601-650,301-400,
École Centrale de Lyon,1028,1001–1200,1234.0,,,
University of Extremadura,1032,1001–1200,998.0,,601-700,
Federal University of Rio de Janeiro,1033,1001–1200,361.0,,401-500,
Ferdowsi University of Mashhad,1036,1001–1200,978.0,,901-1000,947.0
Florida Institute of Technology,1037,1001–1200,1015.0,,,775.0
Fu Jen Catholic University,1039,1001–1200,1225.0,1201-1400,,
Fujian Agriculture and Forestry University,1040,1001–1200,889.0,,701-800,
University of Ghana,1041,1001–1200,1266.0,1201-1400,,1109.0
Guangxi University,1042,1001–1200,764.0,,501-600,
Hamamatsu University School of Medicine,1046,1001–1200,1565.0,,,
Huaqiao University,1047,1001–1200,1147.0,,901-1000,
Hyogo College of Medicine,1048,1001–1200,1376.0,,,
Ilia State University,1050,1001–1200,1471.0,,,1912.0
"Indian Institute of Science Education and Research, Pune",1053,1001–1200,1106.0,,,1680.0
Indian Institute of Science Education and Research Kolkata,1054,1001–1200,1372.0,,,1984.0
Indian Institute of Technology Bhubaneswar,1055,1001–1200,1594.0,801-1000,,1877.0
Indian Institute of Technology Guwahati,1056,1001–1200,937.0,,,
Indian Institute of Technology (Indian School of Mines) Dhanbad,1057,1001–1200,1409.0,,,1486.0
University of Indonesia,1059,1001–1200,1553.0,,,
Inha University,1060,1001–1200,708.0,531-540,601-700,
Isfahan University of Medical Sciences,1061,1001–1200,1286.0,,,921.0
Isfahan University of Technology,1062,1001–1200,718.0,,,999.0
Istanbul University,1063,1001–1200,687.0,801-1000,401-500,905.0
Istanbul University-Cerrahpaşa,1064,1001–1200,1351.0,,,
Jadavpur University,1065,1001–1200,1052.0,701-750,,2234.0
Jaume I University,1066,1001–1200,896.0,,,
Jeonbuk National University,1068,1001–1200,625.0,551-560,701-800,
Jiangnan University,1069,1001–1200,549.0,1001-1200,401-500,
Jiangsu Normal University,1070,1001–1200,1111.0,,,
Jiangxi University of Finance and Economics,1071,1001–1200,1998.0,,,
Kanazawa University,1073,1001–1200,713.0,601-650,701-800,
Kaohsiung Medical University,1074,1001–1200,785.0,,701-800,
K.N. Toosi University of Technology,1076,1001–1200,1277.0,,,
Kumamoto University,1077,1001–1200,732.0,651-700,901-1000,
Kwame Nkrumah University of Science and Technology,1078,1001–1200,1439.0,,,1489.0
Kyoto Prefectural University of Medicine,1079,1001–1200,1152.0,,,
University of Las Palmas de Gran Canaria,1080,1001–1200,1165.0,,,
Lebanese University,1081,1001–1200,1913.0,601-650,,
University of Leoben,1082,1001–1200,1656.0,,,
University of León,1083,1001–1200,1297.0,,,
University of Mazandaran,1091,1001–1200,1833.0,,,
Medical University of Bialystok,1092,1001–1200,1630.0,,,
Menoufia University,1093,1001–1200,1658.0,,,1589.0
Miguel Hernández University of Elche,1094,1001–1200,1036.0,,801-900,
University of Murcia,1096,1001–1200,740.0,801-1000,701-800,
Nanjing University of Aeronautics and Astronautics,1097,1001–1200,471.0,801-1000,301-400,
Nanjing Medical University,1098,1001–1200,438.0,,201-300,
National Autonomous University of Mexico,1099,1001–1200,277.0,,201-300,
National Central University,1100,1001–1200,581.0,581-590,801-900,
National University of Colombia,1101,1001–1200,778.0,,801-900,
National Taipei University of Technology,1102,1001–1200,1070.0,436,,
National Taiwan Ocean University,1103,1001–1200,1373.0,1001-1200,,
National Institute of Technology Rourkela,1104,1001–1200,1438.0,,,1204.0
Necmettin Erbakan University,1105,1001–1200,1760.0,,,
Niigata University,1106,1001–1200,748.0,561-570,,
Northwest University,1107,1001–1200,880.0,1001-1200,501-600,7371.0
Oakland University,1108,1001–1200,1248.0,,,827.0
Okayama University,1110,1001–1200,469.0,,401-500,
University of Oviedo,1111,1001–1200,514.0,,701-800,
Palacký University Olomouc,1112,1001–1200,566.0,,701-800,
University of Patras,1113,1001–1200,800.0,,,
Pavol Jozef Šafárik University in Košice,1114,1001–1200,1402.0,,,
University of Pécs,1115,1001–1200,1135.0,,,
Polytechnic Institute of Porto,1117,1001–1200,1743.0,,,
Portland State University,1119,1001–1200,921.0,,901-1000,1121.0
Public University of Navarre,1121,1001–1200,1246.0,,,
Pusan National University,1123,1001–1200,444.0,,501-600,
Reichman University,1124,1001–1200,1945.0,,,
Rikkyo University,1126,1001–1200,1584.0,,,
Rochester Institute of Technology,1128,1001–1200,1038.0,,,426.0
Rowan University,1129,1001–1200,1466.0,,,882.0
Sakarya University,1131,1001–1200,1832.0,,,1404.0
University of Seville,1135,1001–1200,409.0,,401-500,
Shahid Beheshti University of Medical Sciences,1136,1001–1200,938.0,,701-800,630.0
Shahrood University of Technology,1138,1001–1200,1929.0,,,1994.0
Shanghai Maritime University,1139,1001–1200,1497.0,,,
Sogang University,1143,1001–1200,1037.0,,,
Sohag University,1144,1001–1200,1863.0,,,3014.0
University of South Africa,1145,1001–1200,1302.0,,901-1000,795.0
University of South Dakota,1146,1001–1200,1482.0,,,1170.0
University of South Wales,1149,1001–1200,1807.0,,,
University of Split,1150,1001–1200,803.0,,,1192.0
St Marianna University School of Medicine,1152,1001–1200,1741.0,,,
University of Szeged,1155,1001–1200,679.0,,701-800,
Technical University of Crete,1157,1001–1200,1854.0,,,1472.0
University of Texas Rio Grande Valley,1161,1001–1200,1026.0,,,1028.0
Tokyo Medical University,1162,1001–1200,1216.0,,,
Tokyo Metropolitan University,1163,1001–1200,705.0,,,
University of Trás-os-Montes and Alto Douro,1165,1001–1200,1515.0,,,
Urmia University,1167,1001–1200,1715.0,,,1879.0
"Vietnam National University, Hanoi",1169,1001–1200,1204.0,,,
University of Vigo,1170,1001–1200,786.0,,501-600,
Waseda University,1171,1001–1200,201.0,,601-700,
University of Westminster,1172,1001–1200,1696.0,,,1084.0
Wuhan University of Technology,1173,1001–1200,463.0,,301-400,
Xidian University,1174,1001–1200,480.0,,501-600,
Yasouj University,1176,1001–1200,1990.0,,,
Yıldız Technical University,1177,1001–1200,1039.0,,,
University of Zaragoza,1178,1001–1200,483.0,,501-600,
Zhejiang Gongshang University,1179,1001–1200,1426.0,,,
Zhejiang University of Technology,1180,1001–1200,603.0,,401-500,
University of Zimbabwe,1182,1001–1200,1764.0,,,2123.0
Adolfo Ibáñez University,1187,1201–1500,1938.0,,,
AGH University of Science and Technology,1188,1201–1500,590.0,,601-700,
Aichi Medical University,1189,1201–1500,1614.0,,,
Akdeniz University,1191,1201–1500,1435.0,,,1451.0
University of Alicante,1192,1201–1500,848.0,,601-700,
Anadolu University,1193,1201–1500,1768.0,,,
Ankara University,1197,1201–1500,665.0,,801-900,746.0
University of Antioquia,1198,1201–1500,1021.0,,,
Ariel University,1201,1201–1500,1592.0,,,1815.0
Atatürk University,1202,1201–1500,1380.0,,,1013.0
Austral University of Chile,1203,1201–1500,1233.0,,,
University of Brasília,1212,1201–1500,859.0,,701-800,
Brno University of Technology,1214,1201–1500,1254.0,,901-1000,
Bu-Ali Sina University,1215,1201–1500,1603.0,,,
University of Bucharest,1216,1201–1500,1028.0,,,1567.0
Budapest University of Technology and Economics,1217,1201–1500,931.0,,901-1000,
University of Cadiz,1218,1201–1500,1029.0,,,
University of Carthage,1220,1201–1500,1371.0,,,
Catholic University of the North,1222,1201–1500,1628.0,,,
"University of Chemistry and Technology, Prague",1224,1201–1500,1139.0,,,
Chosun University,1226,1201–1500,1395.0,,,
Chungbuk National University,1227,1201–1500,925.0,,901-1000,
Chungnam National University,1228,1201–1500,690.0,,701-800,
Chung Yuan Christian University,1229,1201–1500,1313.0,,,
University of Concepción,1232,1201–1500,823.0,,901-1000,
Czech Technical University in Prague,1234,1201–1500,619.0,,801-900,
Democritus University of Thrace,1238,1201–1500,1357.0,,,1075.0
Dokuz Eylül University,1239,1201–1500,1150.0,,801-900,1098.0
Ege University,1240,1201–1500,892.0,,901-1000,1062.0
Ehime University,1241,1201–1500,1019.0,,,
Erciyes University,1244,1201–1500,1285.0,,901-1000,1382.0
Federal University of Espírito Santo,1249,1201–1500,1200.0,,,
Federal University of Goiás,1250,1201–1500,1064.0,,901-1000,
Federal University of Lavras,1251,1201–1500,1275.0,,,
Federal University of Santa Maria,1254,1201–1500,1045.0,,801-900,
Federal University of São Carlos,1255,1201–1500,960.0,,601-700,
Federal University of Uberlândia,1256,1201–1500,1240.0,,,
Federal University of Viçosa,1257,1201–1500,919.0,,601-700,
Federico Santa María Technical University,1258,1201–1500,871.0,,,
University of La Frontera,1260,1201–1500,1449.0,,,
Fujian Normal University,1261,1201–1500,1020.0,,701-800,
Gazi University,1264,1201–1500,906.0,,901-1000,11808.0
University of Gdańsk,1265,1201–1500,1171.0,,,
Gdańsk University of Technology,1266,1201–1500,1346.0,,801-900,
Gebze Technical University,1267,1201–1500,1974.0,,,
Georgia Southern University,1268,1201–1500,1655.0,,,965.0
Gifu University,1270,1201–1500,1009.0,,,
Gunma University,1273,1201–1500,1113.0,,,
Gyeongsang National University,1274,1201–1500,814.0,,801-900,
Hallym University,1275,1201–1500,979.0,,901-1000,
Harbin Engineering University,1276,1201–1500,799.0,,501-600,
Helwan University,1281,1201–1500,1502.0,,,1675.0
Incheon National University,1286,1201–1500,1475.0,,,
Indian Institute of Science Education and Research Bhopal,1287,1201–1500,1896.0,,,2552.0
University of Isfahan,1290,1201–1500,1454.0,,,2485.0
Jeju National University,1294,1201–1500,1366.0,,,
Kagawa University,1296,1201–1500,1451.0,,,
Kanazawa Medical University,1297,1201–1500,1995.0,,,
Kangwon National University,1298,1201–1500,735.0,,801-900,
Kaunas University of Technology,1300,1201–1500,1862.0,,,
Kharazmi University,1301,1201–1500,1960.0,,,
Khon Kaen University,1302,1201–1500,1190.0,,,714.0
Kitasato University,1305,1201–1500,758.0,,,
University of Lethbridge,1310,1201–1500,1554.0,,,2414.0
University of Malaga,1315,1201–1500,663.0,,,
University of Maribor,1318,1201–1500,1077.0,,,
Marmara University,1319,1201–1500,974.0,,,1277.0
Mendel University in Brno,1320,1201–1500,1667.0,,,
Metropolitan Autonomous University,1321,1201–1500,1123.0,,,
Mie University,1322,1201–1500,1179.0,,,
University of Monastir,1325,1201–1500,1368.0,,,
Nagasaki University,1330,1201–1500,855.0,,,
Nagoya City University,1331,1201–1500,1141.0,,,
National Chengchi University,1332,1201–1500,1413.0,,,
National Chung Cheng University,1334,1201–1500,1431.0,,,
National Chung Hsing University,1335,1201–1500,723.0,,,
National Dong Hwa University,1337,1201–1500,1688.0,,,
University of North Carolina Wilmington,1344,1201–1500,1663.0,,,
North China Electric Power University,1345,1201–1500,577.0,,,
University of Ostrava,1353,1201–1500,1866.0,,,
University of Pau and Pays de l’Adour,1356,1201–1500,1338.0,,,
Pontifical Catholic University of Peru,1359,1201–1500,1581.0,,,
Pontifical Catholic University of Valparaíso,1360,1201–1500,1421.0,,,
Poznan University of Medical Sciences,1362,1201–1500,1162.0,,,
Poznan University of Technology,1363,1201–1500,1521.0,,,
Prince of Songkla University,1365,1201–1500,1231.0,,,
Riga Technical University,1367,1201–1500,1882.0,,,
Ritsumeikan University,1368,1201–1500,987.0,,,
University of the Ryukyus,1369,1201–1500,1296.0,,,
Saga University,1370,1201–1500,1322.0,,,
Saitama Medical University,1372,1201–1500,1306.0,,,
Sapporo Medical University,1374,1201–1500,1591.0,,,
Selçuk University,1378,1201–1500,1397.0,,,
Semnan University,1379,1201–1500,1569.0,,,
University of Seoul,1380,1201–1500,912.0,,,
University of Sfax,1382,1201–1500,1130.0,,,
Shahid Bahonar University of Kerman,1384,1201–1500,1576.0,,,
University of Shanghai for Science and Technology,1387,1201–1500,897.0,,,
Shiga University of Medical Science,1389,1201–1500,1541.0,,,
Shinshu University,1390,1201–1500,675.0,,,
Showa University,1391,1201–1500,1370.0,,,
Silesian University of Technology,1392,1201–1500,1335.0,,,
Sofia University,1393,1201–1500,905.0,,,
Soonchunhyang University,1394,1201–1500,1127.0,,,
Soongsil University,1395,1201–1500,1333.0,,,
University of Sousse,1397,1201–1500,1985.0,,,
Southwest Jiaotong University,1398,1201–1500,631.0,,,
SRM Institute of Science and Technology,1400,1201–1500,1555.0,,,
Suranaree University of Technology,1403,1201–1500,1716.0,,,
University of Talca,1404,1201–1500,1856.0,,,
Tamkang University,1405,1201–1500,1510.0,,,
University of Tarapacá,1406,1201–1500,1999.0,,,
Taras Shevchenko National University of Kyiv,1407,1201–1500,1472.0,,,
Technical University of Košice,1408,1201–1500,1983.0,,,
University of Technology of Compiègne,1410,1201–1500,1889.0,,,
Teikyo University,1412,1201–1500,1145.0,,,
Texas State University,1415,1201–1500,1251.0,,,
Tezpur University,1416,1201–1500,1961.0,,,
Thammasat University,1417,1201–1500,1646.0,,,
TOBB University of Economics and Technology,1419,1201–1500,1229.0,,,
Toho University,1420,1201–1500,1112.0,,,
Tokai University,1421,1201–1500,993.0,,,
Tokat Gaziosmanpaşa University,1422,1201–1500,1185.0,,,
Tokushima University,1423,1201–1500,846.0,,,
Tokyo University of Agriculture and Technology,1424,1201–1500,1007.0,,,
Tokyo University of Science,1426,1201–1500,763.0,,,
University of Toyama,1428,1201–1500,1047.0,,,
Transilvania University of Brașov,1430,1201–1500,1530.0,,,
Tunghai University,1432,1201–1500,1811.0,,,
Tzu Chi University,1434,1201–1500,1712.0,,,
University of Valladolid,1441,1201–1500,902.0,,,
Warsaw University of Technology,1450,1201–1500,711.0,,,
University of West Bohemia,1451,1201–1500,1968.0,,,
Western Michigan University,1453,1201–1500,1428.0,,,
Wrocław University of Environmental and Life Sciences,1454,1201–1500,1790.0,,,
University of Wrocław,1455,1201–1500,832.0,,,
Wuhan Textile University,1456,1201–1500,1940.0,,,
Xiangtan University,1457,1201–1500,947.0,,,
Xuzhou Medical University,1458,1201–1500,1323.0,,,
Yamagata University,1459,1201–1500,1030.0,,,
University of Yamanashi,1460,1201–1500,1269.0,,,
Yazd University,1461,1201–1500,1684.0,,,
