University Name,original_index,Times Ranking,CWUR Ranking,QS Ranking,ARWU Ranking,Webometrics Ranking
University of Bologna,160,161,181.0,,201-300,
Trinity College Dublin,161,161,235.0,,151-200,200.0
University of Leicester,162,163,246.0,279,301-400,286.0
Technical University of Denmark,165,166,193.0,104,151-200,
Medical University of Graz,166,168,567.0,,501-600,
Université Catholique de Louvain,169,170,207.0,,,331.0
Wuhan University,171,173,183.0,194,101-150,
Macquarie University,173,175,360.0,195,201-300,203.0
Huazhong University of Science and Technology,174,176,137.0,306,96,
University of Liverpool,175,176,134.0,190,101-150,195.0
Stockholm University,176,176,146.0,153,90,
University of Mannheim,177,179,1013.0,,,
University of Arizona,178,180,93.0,,101-150,54.0
University of Barcelona,180,182,132.0,,151-200,
Autonomous University of Barcelona,181,183,184.0,,201-300,
Scuola Normale Superiore di Pisa,182,183,512.0,,,902.0
University of Münster,183,185,199.0,384,,
Pompeu Fabra University,184,186,403.0,,301-400,
Cardiff University,185,187,156.0,166,151-200,203.0
Friedrich Schiller University Jena,187,189,322.0,,,358.0
Karlsruhe Institute of Technology,188,189,241.0,,,
University of Aberdeen,190,192,296.0,220,201-300,356.0
"University of California, Santa Cruz",191,192,299.0,375,151-200,155.0
Medical University of Vienna,192,194,295.0,,201-300,
University of Miami,193,194,237.0,296,201-300,129.0
University of Erlangen-Nuremberg,194,196,229.0,,201-300,
Sichuan University,195,196,208.0,406,101-150,
Durham University,196,198,329.0,92,301-400,359.0
Queen’s University Belfast,197,198,366.0,233,301-400,289.0
University of Reading,198,198,245.0,229,,352.0
Aalto University,199,201–250,345.0,116,301-400,
University of Bergen,200,201–250,286.0,207,301-400,
Bielefeld University,201,201–250,644.0,1001-1200,701-800,
University of Calgary,202,201–250,192.0,242,,91.0
Curtin University,203,201–250,340.0,193,201-300,
University of Dundee,204,201–250,350.0,354,,441.0
University of East Anglia,205,201–250,278.0,,201-300,316.0
Eindhoven University of Technology,206,201–250,343.0,138,301-400,
University of Geneva,207,201–250,110.0,125,62,
George Washington University,208,201–250,294.0,362,,140.0
University of Gothenburg,209,201–250,167.0,185,101-150,
University of Hohenheim,210,201–250,805.0,801-1000,,
Humanitas University,211,201–250,1448.0,,401-500,1337.0
King Fahd University of Petroleum and Minerals,212,201–250,681.0,160,401-500,703.0
University of Konstanz,213,201–250,540.0,,501-600,
Korea University,214,201–250,164.0,74,201-300,10033.0
Université Libre de Bruxelles,215,201–250,222.0,210,,480.0
University of Luxembourg,216,201–250,854.0,,701-800,
University of Macau,217,201–250,597.0,304,401-500,618.0
Macau University of Science and Technology,218,201–250,1034.0,581-590,501-600,
Medical University of Innsbruck,219,201–250,561.0,,401-500,
University of Newcastle,220,201–250,398.0,,,334.0
University of Notre Dame,221,201–250,175.0,243,301-400,178.0
University of Potsdam,223,201–250,515.0,,401-500,
