University Name,CWUR World University Rankings
University of the Witwatersrand,292
University of Antwerp,293
George Washington University,294
Medical University of Vienna,295
University of Aberdeen,296
Laval University,297
Washington State University,298
"University of California, Santa Cruz",299
University at Buffalo,300
"University of Maryland, Baltimore",301
University of Southern Denmark,302
University of Pavia,303
University of Delaware,304
University of South Florida,305
University of Kentucky,306
Hanyang University,307
University of Porto,308
University of Nebraska–Lincoln,309
National Yang Ming Chiao Tung University,310
Beijing Normal University,311
University of Lille,312
Beijing Institute of Technology,313
University of Duisburg-Essen,314
Wayne State University,315
Ruhr University Bochum,316
Hunan University,317
University of New Mexico,318
University of Electronic Science and Technology of China,319
Queen's University,320
Northeastern University,321
Friedrich Schiller University Jena,322
University of York,323
London School of Economics and Political Science,324
Ulm University,325
Southern Methodist University,326
University of Granada,327
Polytechnic University of Milan,328
Durham University,329
Zhengzhou University,330
University of Rome Tor Vergata,331
Chongqing University,332
Umeå University,333
École des ponts ParisTech,334
China Agricultural University,335
University of Milano-Bicocca,336
University of South Carolina - Columbia,337
University of Düsseldorf,338
Lancaster University,339
Curtin University,340
Dalhousie University,341
Lanzhou University,342
Eindhoven University of Technology,343
Versailles Saint-Quentin-en-Yvelines University,344
Aalto University,345
University of Campinas,346
University of the Basque Country,347
University of Belgrade,348
National Cheng Kung University,349
University of Dundee,350
Temple University,351
Islamic Azad University,352
Hannover Medical School,353
Simon Fraser University,354
Ben-Gurion University of the Negev,355
University of Technology Sydney,356
King Saud University,357
Shenzhen University,358
Vrije Universiteit Brussel,359
Macquarie University,360
Federal University of Rio de Janeiro,361
Drexel University,362
Polytechnic University of Catalonia,363
University of St Andrews,364
University of Buenos Aires,365
Queen's University Belfast,366
Northwestern Polytechnical University,367
Aalborg University,368
East China Normal University,369
Peking Union Medical College,370
Linköping University,371
University of Otago,372
University of Parma,373
University of Marburg,374
Albert Einstein College of Medicine,375
Deakin University,376
Louisiana State University,377
International Institute for Management Development,378
Kyung Hee University,379
Capital Medical University,380
Jagiellonian University,381
Queensland University of Technology,382
Technical University of Berlin,383
Griffith University,384
Pontifical Catholic University of Chile,385
Justus Liebig University Giessen,386
Pohang University of Science and Technology,387
East China University of Science and Technology,388
University of Science and Technology Beijing,389
University of Wollongong,390
University of Malaya,391
City College of New York,392
University of Innsbruck,393
University of Perugia,394
University of Turku,395
National Research Center «Kurchatov Institute»,396
University of Victoria,397
University of Newcastle,398
Chalmers University of Technology,399
"University of Oklahoma, Norman",400
University Paris-Est Créteil,401
University of Warsaw,402
Pompeu Fabra University,403
Medical University of South Carolina,404
Swedish University of Agricultural Sciences,405
University of Tasmania,406
"University at Albany, SUNY",407
University of Regensburg,408
University of Seville,409
University of Oregon,410
University of Bari,411
Kyungpook National University,412
University of Coimbra,413
University of Saskatchewan,414
National Tsing Hua University,415
University of Ljubljana,416
Aristotle University of Thessaloniki,417
Vienna University of Technology,418
São Paulo State University,419
University of Ulsan,420
Indian Institute of Management Ahmedabad,421
Nanjing Agricultural University,422
University of Clermont Auvergne,423
University of Texas at Dallas,424
University of Twente,425
Catholic University of the Sacred Heart,426
University of Rennes 1,427
University of Côte d'Azur,428
Tampere University,429
Shanghai University,430
University of Chile,431
Texas Tech University,432
York University,433
Thomas Jefferson University,434
Chonnam National University,435
Amherst College,436
University of Mississippi,437
Nanjing Medical University,438
Beijing University of Chemical Technology,439
Nanjing University of Science and Technology,440
Stellenbosch University,441
Stockholm School of Economics,442
University of Bath,443
Pusan National University,444
Hiroshima University,445
Kansas State University,446
Northwest A&F University,447
Indiana University – Purdue University Indianapolis,448
Huazhong Agricultural University,449
Saint Louis University,450
Kobe University,451
University of Trento,452
Tulane University,453
Vita-Salute San Raffaele University,454
University of Navarra,455
University of Trieste,456
University of Alabama - Tuscaloosa,457
Antioch College,458
University of Oulu,459
Jinan University,460
Federal University of Rio Grande do Sul,461
Syracuse University,462
Wuhan University of Technology,463
Chulalongkorn University,464
George Mason University,465
Martin Luther University Halle-Wittenberg,466
Florida International University,467
University of Catania,468
Okayama University,469
Medical College of Wisconsin,470
Nanjing University of Aeronautics and Astronautics,471
University of Santiago de Compostela,472
University of Central Florida,473
University of Vermont,474
University of Louisville,475
University of Stuttgart,476
La Trobe University,477
University of Eastern Finland,478
